season,group_id,new,returning,anon
1,50c6197ea2fc8e1110000001,3958,0,192632
2,50c61e51a2fc8e1110000002,6067,3643,288164
3,50c62517a2fc8e1110000003,4377,7954,209020
4,50e477293ae740a45f000001,4042,4250,209386
5,51ad041f3ae7401ecc000001,3836,3403,204566
6,51f158983ae74082bb000001,5180,4615,214587
7,5331cce91bccd304b6000001,6660,3187,369271
8,54cfc76387ee0404d5000001,8668,3260,740662
Lost Season,55a3d6cf3ae74036bc000001,620,1441,70746
9,56a63b3b41479b0042000001,283,1376,40368
