Species,Difficulty,SubjectID,Frame
blank,easy,ASG001btpf,0
blank,easy,ASG001bveo,0
blank,moderate,ASG001e3r6,0
blank,moderate,ASG001e9jy,0
blank,hard,ASG001e8mp,0
blank,hard,ASG001ej9i,0
buffalo,easy,ASG0019827,0
buffalo,easy,ASG00192yk,0
buffalo,moderate,ASG001d0vm,0
buffalo,moderate,ASG001bgog,0
buffalo,hard,ASG00191c7,0
buffalo,hard,ASG0018ojc,0
elephant,easy,ASG001fyha,0
elephant,easy,ASG001b711,0
elephant,moderate,ASG001b1ly,0
elephant,moderate,ASG001b2t3,0
elephant,hard,ASG001amec,0
elephant,hard,ASG0019a1a,0
gazellethomsons,easy,ASG001e86q,0
gazellegrants,easy,ASG001e92u,0
gazellethomsons,moderate,ASG001e8t7,0
gazellegrants,moderate,ASG00198e2,0
gazellethomsons,hard,ASG001e8dh,0
gazellegrants,hard,ASG0019fdx,0
giraffe,easy,ASG0019thl,0
giraffe,easy,ASG001arr3,0
giraffe,moderate,ASG0018jt5,0
giraffe,moderate,ASG001e8qx,0
giraffe,hard,ASG0018kwk,0
giraffe,hard,ASG001fyk2,0
guineafowl,easy,ASG00199nv,0
guineafowl,easy,ASG001dun9,0
guineafowl,moderate,ASG001clcq,0
guineafowl,moderate,ASG001bnde,0
guineafowl,hard,ASG001au55,0
guineafowl,hard,ASG00198jn,0
hartebeest,easy,ASG001ea0e,0
hartebeest,easy,ASG001e95x,0
hartebeest,moderate,ASG001a6e2,0
hartebeest,moderate,ASG001d1v5,0
hartebeest,hard,ASG001e9h8,0
hartebeest,hard,ASG001cdg5,0
ostrich,easy,ASG001c9b4,0
ostrich,easy,ASG001axfx,0
ostrich,moderate,ASG001ejh2,0
ostrich,moderate,ASG001cra6,0
ostrich,hard,ASG001bj2x,0
ostrich,hard,ASG001cnm0,0
warthog,easy,ASG001avsm,0
warthog,easy,ASG001a9an,0
warthog,moderate,ASG001ah9v,0
warthog,moderate,ASG001dqoo,0
warthog,hard,ASG001esle,0
warthog,hard,ASG001dv6e,0
wildebeest,easy,ASG001cqvq,0
wildebeest,easy,ASG001bots,0
wildebeest,moderate,ASG0018kn2,0
wildebeest,moderate,ASG0018whg,0
wildebeest,hard,ASG001e8ba,0
wildebeest,hard,ASG001azt3,0
zebra,easy,ASG0019o5q,0
zebra,easy,ASG00191nu,0
zebra,moderate,ASG001e0wq,0
zebra,moderate,ASG001e1jw,0
zebra,hard,ASG0019oda,0
zebra,hard,ASG0018o55,0
