"date","Anonymous Classifications"
"2013-10-17",2183
"2013-10-18",2899
"2013-10-19",3034
"2013-10-20",1061
"2013-10-21",4337
"2013-10-22",2268
"2013-10-23",2143
"2013-10-24",2319
"2013-10-25",2126
"2013-10-26",1780
"2013-10-27",1379
"2013-10-28",1492
"2013-10-29",1019
"2013-10-30",1398
"2013-10-31",1356
"2013-11-01",327
"2013-11-02",275
"2013-11-03",26
"2013-11-04",1504
"2013-11-05",1050
"2013-11-06",593
"2013-11-07",410
"2013-11-08",902
"2013-11-09",454
"2013-11-10",463
"2013-11-11",150
"2013-11-12",1428
"2013-11-13",203
"2013-11-14",1114
"2013-11-15",1704
"2013-11-16",973
"2013-11-17",1421
"2013-11-18",1170
"2013-11-19",639
"2013-11-20",922
"2013-11-21",851
"2013-11-22",485
"2013-11-23",446
"2013-11-24",199
"2013-11-25",184
"2013-11-26",279
"2013-11-27",374
"2013-11-28",564
"2013-11-29",305
"2013-11-30",30
"2013-12-01",40
"2013-12-02",223
"2013-12-03",358
"2013-12-04",491
"2013-12-05",1298
"2013-12-06",547
"2013-12-07",125
"2013-12-08",158
"2013-12-09",710
"2013-12-10",2097
"2013-12-11",854
"2013-12-12",470
"2013-12-13",931
"2013-12-14",326
"2013-12-15",203
"2013-12-16",254
"2013-12-17",284
"2013-12-18",499
"2013-12-19",756
"2013-12-20",268
"2013-12-21",82
"2013-12-22",87
"2013-12-23",104
"2013-12-24",353
"2013-12-25",53
"2013-12-26",400
"2013-12-27",415
"2013-12-28",87
"2013-12-29",256
"2013-12-30",197
"2013-12-31",244
"2014-01-01",445
"2014-01-02",296
"2014-01-03",141
"2014-01-04",278
"2014-01-05",133
"2014-01-06",381
"2014-01-07",614
"2014-01-08",314
"2014-01-09",549
"2014-01-10",427
"2014-01-11",256
"2014-01-12",374
"2014-01-13",898
"2014-01-14",1432
"2014-01-15",908
"2014-01-16",365
"2014-01-17",1217
"2014-01-18",332
"2014-01-19",266
"2014-01-20",288
"2014-01-21",336
"2014-01-22",185
"2014-01-23",380
"2014-01-24",701
"2014-01-25",778
"2014-01-26",524
"2014-01-27",910
"2014-01-28",675
"2014-01-29",830
"2014-01-30",852
"2014-01-31",1347
"2014-02-01",731
"2014-02-02",528
"2014-02-03",324
"2014-02-04",1035
"2014-02-05",1830
"2014-02-06",770
"2014-02-07",804
"2014-02-08",200
"2014-02-09",303
"2014-02-10",921
"2014-02-11",1927
"2014-02-12",1226
"2014-02-13",538
"2014-02-14",456
"2014-02-15",417
"2014-02-16",343
"2014-02-17",333
"2014-02-18",1358
"2014-02-19",505
"2014-02-20",340
"2014-02-21",561
"2014-02-22",643
"2014-02-23",425
"2014-02-24",647
"2014-02-25",688
"2014-02-26",649
"2014-02-27",2121
"2014-02-28",5426
"2014-03-01",1744
"2014-03-02",1038
"2014-03-03",1069
"2014-03-04",590
"2014-03-05",1543
"2014-03-06",2847
"2014-03-07",2611
"2014-03-08",654
"2014-03-09",707
"2014-03-10",185
"2014-03-11",1032
"2014-03-12",627
"2014-03-13",450
"2014-03-14",690
"2014-03-15",518
"2014-03-16",653
"2014-03-17",1080
"2014-03-18",817
"2014-03-19",713
"2014-03-20",705
"2014-03-21",495
"2014-03-22",345
"2014-03-23",363
"2014-03-24",359
"2014-03-25",787
"2014-03-26",819
"2014-03-27",791
"2014-03-28",4345
"2014-03-29",649
"2014-03-30",589
"2014-03-31",774
"2014-04-01",728
"2014-04-02",1441
"2014-04-03",2680
"2014-04-04",3387
"2014-04-05",816
"2014-04-06",1308
"2014-04-07",5728
"2014-04-08",4981
"2014-04-09",3426
"2014-04-10",4090
"2014-04-11",1737
"2014-04-12",1199
"2014-04-13",341
"2014-04-14",878
"2014-04-15",1960
"2014-04-16",3554
"2014-04-17",2145
"2014-04-18",1858
"2014-04-19",1371
"2014-04-20",1028
"2014-04-21",7647
"2014-04-22",4757
"2014-04-23",5594
"2014-04-24",6125
"2014-04-25",2031
"2014-04-26",1948
"2014-04-27",770
"2014-04-28",2660
"2014-04-29",1564
"2014-04-30",4093
"2014-05-01",3808
"2014-05-02",2705
"2014-05-03",948
"2014-05-04",3805
"2014-05-05",2424
"2014-05-06",459
"2014-05-07",2198
"2014-05-08",2137
"2014-05-09",1999
"2014-05-10",877
"2014-05-11",1670
"2014-05-12",2223
"2014-05-13",6351
"2014-05-14",5891
"2014-05-15",2546
"2014-05-16",3744
"2014-05-17",1482
"2014-05-18",1164
"2014-05-19",1838
"2014-05-20",1280
"2014-05-21",826
"2014-05-22",1228
"2014-05-23",1332
"2014-05-24",521
"2014-05-25",379
"2014-05-26",534
"2014-05-27",3149
"2014-05-28",4156
"2014-05-29",1452
"2014-05-30",2053
"2014-05-31",695
"2014-06-01",507
"2014-06-02",909
"2014-06-03",863
"2014-06-04",1453
"2014-06-05",3350
"2014-06-06",2050
"2014-06-07",1166
"2014-06-08",324
"2014-06-09",799
"2014-06-10",1001
"2014-06-11",1571
"2014-06-12",289
"2014-06-13",1660
"2014-06-14",554
"2014-06-15",969
"2014-06-16",3036
"2014-06-17",2696
"2014-06-18",3293
"2014-06-19",1539
"2014-06-20",5752
"2014-06-21",838
"2014-06-22",760
"2014-06-23",1755
"2014-06-24",1494
"2014-06-25",2235
"2014-06-26",1841
"2014-06-27",1435
"2014-06-28",350
"2014-06-29",692
"2014-06-30",1925
"2014-07-01",1059
"2014-07-02",1512
"2014-07-03",1807
"2014-07-04",1116
"2014-07-05",449
"2014-07-06",1041
"2014-07-07",1266
"2014-07-08",1505
"2014-07-09",1865
"2014-07-10",845
"2014-07-11",561
"2014-07-12",437
"2014-07-13",384
"2014-07-14",854
"2014-07-15",980
"2014-07-16",680
"2014-07-17",3565
"2014-07-18",345
"2014-07-19",342
"2014-07-20",378
"2014-07-21",275
"2014-07-22",318
"2014-07-23",332
"2014-07-24",100
"2014-07-25",403
"2014-07-26",164
"2014-07-27",49
"2014-07-28",223
"2014-07-29",116
"2014-07-30",376
"2014-07-31",233
"2014-08-01",56
"2014-08-02",147
"2014-08-05",793
"2014-08-06",894
"2014-08-07",752
"2014-08-08",719
"2014-08-09",475
"2014-08-10",344
"2014-08-11",488
"2014-08-12",462
"2014-08-13",656
"2014-08-14",383
"2014-08-15",310
"2014-08-16",368
"2014-08-17",194
"2014-08-18",401
"2014-08-19",375
"2014-08-20",236
"2014-08-21",248
"2014-08-22",630
"2014-08-23",10
"2014-08-24",191
"2014-08-25",244
"2014-08-26",300
"2014-08-27",368
"2014-08-28",1132
"2014-08-29",681
"2014-08-30",214
"2014-08-31",122
"2014-09-01",200
"2014-09-02",257
"2014-09-03",327
"2014-09-04",923
"2014-09-05",2073
"2014-09-06",800
"2014-09-07",437
"2014-09-08",252
"2014-09-09",1210
"2014-09-10",572
"2014-09-11",1296
"2014-09-12",1507
"2014-09-13",351
"2014-09-14",628
"2014-09-15",1699
"2014-09-16",1065
"2014-09-17",1043
"2014-09-18",2520
"2014-09-19",1087
"2014-09-20",628
"2014-09-21",593
"2014-09-22",659
"2014-09-23",1207
"2014-09-24",2011
"2014-09-25",1966
"2014-09-26",1381
"2014-09-27",527
"2014-09-28",446
"2014-09-29",726
"2014-09-30",871
"2014-10-01",799
"2014-10-02",955
"2014-10-03",501
"2014-10-04",172
"2014-10-05",306
"2014-10-06",422
"2014-10-07",645
"2014-10-08",868
"2014-10-09",1254
"2014-10-10",948
"2014-10-11",146
"2014-10-12",244
"2014-10-13",764
"2014-10-14",1435
"2014-10-15",704
"2014-10-16",583
"2014-10-17",860
"2014-10-18",593
"2014-10-19",232
"2014-10-20",839
"2014-10-21",986
"2014-10-22",1041
"2014-10-23",843
"2014-10-24",834
"2014-10-25",629
"2014-10-26",354
"2014-10-27",841
"2014-10-28",1644
"2014-10-29",1182
"2014-10-30",714
"2014-10-31",1052
"2014-11-01",273
"2014-11-02",1236
"2014-11-03",1837
"2014-11-04",2080
"2014-11-05",1513
"2014-11-06",1186
"2014-11-07",2175
"2014-11-08",717
"2014-11-09",264
"2014-11-10",445
"2014-11-11",205
"2014-11-12",1676
"2014-11-13",213
"2014-11-14",1390
"2014-11-15",265
"2014-11-16",196
"2014-11-17",625
"2014-11-18",1019
"2014-11-19",914
"2014-11-20",2192
"2014-11-21",731
"2014-11-22",396
"2014-11-23",258
"2014-11-24",1032
"2014-11-25",539
"2014-11-26",2071
"2014-11-27",897
"2014-11-28",1512
"2014-11-29",371
"2014-11-30",517
"2014-12-01",1552
"2014-12-02",1159
"2014-12-03",919
"2014-12-04",1485
"2014-12-05",562
"2014-12-06",93
"2014-12-07",1145
"2014-12-08",1654
"2014-12-09",1096
"2014-12-10",690
"2014-12-11",1364
"2014-12-12",1168
"2014-12-13",300
"2014-12-14",490
"2014-12-15",930
"2014-12-16",595
"2014-12-17",1372
"2014-12-18",343
"2014-12-19",833
"2014-12-20",80
"2014-12-21",346
"2014-12-22",690
"2014-12-23",485
"2014-12-24",315
"2014-12-25",158
"2014-12-26",189
"2014-12-27",257
"2014-12-28",179
"2014-12-29",265
"2014-12-30",164
"2014-12-31",290
"2015-01-01",285
"2015-01-02",325
"2015-01-03",144
"2015-01-04",138
"2015-01-05",599
"2015-01-06",573
"2015-01-07",788
"2015-01-08",645
"2015-01-09",1398
"2015-01-10",262
"2015-01-11",383
"2015-01-12",799
"2015-01-13",1013
"2015-01-14",425
"2015-01-15",1476
"2015-01-16",583
"2015-01-17",550
"2015-01-18",509
"2015-01-19",288
"2015-01-20",1702
"2015-01-21",638
"2015-01-22",868
"2015-01-23",3042
"2015-01-24",188
"2015-01-25",1341
"2015-01-26",744
"2015-01-27",371
"2015-01-28",328
"2015-01-29",468
"2015-01-30",522
"2015-01-31",186
"2015-02-01",210
"2015-02-02",750
"2015-02-03",381
"2015-02-04",1154
"2015-02-05",992
"2015-02-06",1222
"2015-02-07",284
"2015-02-08",438
"2015-02-09",676
"2015-02-10",2189
"2015-02-11",9874
"2015-02-12",17412
"2015-02-13",29606
"2015-02-14",12460
"2015-02-15",8908
"2015-02-16",6819
"2015-02-17",5801
"2015-02-18",5122
"2015-02-19",3296
"2015-02-20",3137
"2015-02-21",2575
"2015-02-22",1646
"2015-02-23",2454
"2015-02-24",3093
"2015-02-25",7942
"2015-02-26",2134
"2015-02-27",1216
"2015-02-28",1264
"2015-03-01",2962
"2015-03-02",2309
"2015-03-03",2993
"2015-03-04",2479
"2015-03-05",2761
"2015-03-06",5060
"2015-03-07",975
"2015-03-08",1488
"2015-03-09",6319
"2015-03-10",4808
"2015-03-11",4887
"2015-03-12",2554
"2015-03-13",5161
"2015-03-14",1393
"2015-03-15",1563
"2015-03-16",1949
"2015-03-17",2794
"2015-03-18",3338
"2015-03-19",4356
"2015-03-20",2794
"2015-03-21",379
"2015-03-22",1241
"2015-03-23",3176
"2015-03-24",2950
"2015-03-25",2662
"2015-03-26",2671
"2015-03-27",1606
"2015-03-28",1172
"2015-03-29",1009
"2015-03-30",1390
"2015-03-31",1875
"2015-04-01",1949
"2015-04-02",1755
"2015-04-03",477
"2015-04-06",971
"2015-04-07",850
"2015-04-08",878
"2015-04-09",736
"2015-04-10",954
"2015-04-11",103
"2015-04-12",240
"2015-04-13",222
"2015-04-14",671
"2015-04-15",255
"2015-04-16",1116
"2015-04-17",1042
"2015-04-18",200
"2015-04-19",345
"2015-04-20",208
"2015-04-21",723
"2015-04-22",251
"2015-04-23",1527
"2015-04-24",232
"2015-04-25",243
"2015-04-26",311
"2015-04-27",824
"2015-04-28",3330
"2015-04-29",2931
"2015-04-30",3973
"2015-05-01",4606
"2015-05-02",573
"2015-05-03",707
"2015-05-04",1044
"2015-05-05",2363
"2015-05-06",3682
"2015-05-07",1418
"2015-05-08",1733
"2015-05-09",720
"2015-05-10",542
"2015-05-11",3905
"2015-05-12",13387
"2015-05-13",8411
"2015-05-14",16450
"2015-05-15",13206
"2015-05-16",1090
"2015-05-17",1357
"2015-05-18",2440
"2015-05-19",1702
"2015-05-20",6914
"2015-05-21",1558
"2015-05-22",1531
"2015-05-23",456
"2015-05-24",874
"2015-05-25",1411
"2015-05-26",2748
"2015-05-27",1090
"2015-05-28",1353
"2015-05-29",1409
"2015-05-30",918
"2015-05-31",302
"2015-06-01",1439
"2015-06-02",1958
"2015-06-03",2298
"2015-06-04",2527
"2015-06-05",843
"2015-06-06",432
"2015-06-07",522
"2015-06-08",2132
"2015-06-09",41052
"2015-06-10",52033
"2015-06-11",29184
"2015-06-12",23450
"2015-06-13",9319
"2015-06-14",8229
"2015-06-15",8982
"2015-06-16",4548
"2015-06-17",2104
"2015-06-18",1410
"2015-06-19",2212
"2015-06-20",1324
"2015-06-21",1219
"2015-06-22",1697
"2015-06-23",2952
"2015-06-24",1319
"2015-06-25",1673
"2015-06-26",2864
"2015-06-27",789
"2015-06-28",379
"2015-06-29",571
"2015-06-30",1566
"2015-07-01",1713
"2015-07-02",2696
"2015-07-03",1169
"2015-07-04",350
"2015-07-05",500
"2015-07-06",234
"2015-07-07",1095
"2015-07-08",1089
"2015-07-09",1087
"2015-07-10",608
"2015-07-11",294
"2015-07-12",395
"2015-07-13",722
"2015-07-14",967
"2015-07-15",2040
"2015-07-16",975
"2015-07-17",2533
"2015-07-18",1209
"2015-07-19",321
"2015-07-20",792
"2015-07-21",3406
"2015-07-22",3652
"2015-07-23",1967
"2015-07-24",663
"2015-07-25",367
"2015-07-26",478
"2015-07-27",622
"2015-07-28",1948
"2015-07-29",2032
"2015-07-30",1428
"2015-07-31",883
"2015-08-01",149
"2015-08-02",845
"2015-08-03",595
"2015-08-04",421
"2015-08-05",87
"2015-08-06",945
"2015-08-07",771
"2015-08-08",652
"2015-08-09",476
"2015-08-10",255
"2015-08-11",186
"2015-08-12",1006
"2015-08-13",589
"2015-08-14",369
"2015-08-15",313
"2015-08-16",103
"2015-08-17",553
"2015-08-18",269
"2015-08-19",295
"2015-08-20",243
"2015-08-21",923
"2015-08-22",254
"2015-08-23",180
"2015-08-24",1004
"2015-08-25",1146
"2015-08-26",755
"2015-08-27",711
"2015-08-28",1000
"2015-08-29",442
"2015-08-30",1040
"2015-08-31",5806
"2015-09-01",2696
"2015-09-02",1392
"2015-09-03",2080
"2015-09-04",662
"2015-09-05",312
"2015-09-06",809
"2015-09-07",506
"2015-09-08",1037
"2015-09-09",1671
"2015-09-10",2147
"2015-09-11",1732
"2015-09-12",345
"2015-09-13",1284
"2015-09-14",2017
"2015-09-15",2697
"2015-09-16",1805
"2015-09-17",5481
"2015-09-18",4491
"2015-09-19",1894
"2015-09-20",1704
"2015-09-21",2260
"2015-09-22",1401
"2015-09-23",2704
"2015-09-24",1582
"2015-09-25",5071
"2015-09-26",402
"2015-09-27",486
"2015-09-28",2572
"2015-09-29",2044
"2015-09-30",1392
"2015-10-01",708
"2015-10-02",615
"2015-10-03",374
"2015-10-04",634
"2015-10-05",843
"2015-10-06",1746
"2015-10-07",1695
"2015-10-08",2375
"2015-10-09",767
"2015-10-10",264
"2015-10-11",271
"2015-10-12",793
"2015-10-13",2373
"2015-10-14",1290
"2015-10-15",2290
"2015-10-16",754
"2015-10-17",415
"2015-10-18",913
"2015-10-19",986
"2015-10-20",1060
"2015-10-21",1090
"2015-10-22",642
"2015-10-23",2711
"2015-10-24",379
"2015-10-25",678
"2015-10-26",1310
"2015-10-27",1462
"2015-10-28",3956
"2015-10-29",1199
"2015-10-30",622
"2015-10-31",165
"2015-11-01",172
"2015-11-02",2328
"2015-11-03",3847
"2015-11-04",5747
"2015-11-05",4574
"2015-11-06",938
"2015-11-07",1132
"2015-11-08",808
"2015-11-09",690
"2015-11-10",1112
"2015-11-11",2117
"2015-11-12",1771
"2015-11-13",2363
"2015-11-14",1140
"2015-11-15",1463
"2015-11-16",949
"2015-11-17",1296
"2015-11-18",739
"2015-11-19",1513
"2015-11-20",596
"2015-11-21",115
"2015-11-22",199
"2015-11-23",1270
"2015-11-24",1832
"2015-11-25",2183
"2015-11-26",778
"2015-11-27",433
"2015-11-28",373
"2015-11-29",519
"2015-11-30",4661
"2015-12-01",848
"2015-12-02",1157
"2015-12-03",4072
"2015-12-04",2443
"2015-12-05",1362
"2015-12-06",649
"2015-12-07",6435
"2015-12-08",2887
"2015-12-09",921
"2015-12-10",2181
"2015-12-11",1547
"2015-12-12",685
"2015-12-13",599
"2015-12-14",1783
"2015-12-15",1486
"2015-12-16",1194
"2015-12-17",652
"2015-12-18",1091
"2015-12-19",1318
"2015-12-20",574
"2015-12-21",1333
"2015-12-22",787
"2015-12-23",428
"2015-12-24",664
"2015-12-25",139
"2015-12-26",17
"2015-12-27",215
"2015-12-28",255
"2015-12-29",206
"2015-12-30",239
"2015-12-31",878
"2016-01-01",21
"2016-01-02",236
"2016-01-03",856
"2016-01-04",902
"2016-01-05",303
"2016-01-06",842
"2016-01-07",1842
"2016-01-08",1606
"2016-01-09",410
"2016-01-10",315
"2016-01-11",238
"2016-01-12",314
"2016-01-13",1042
"2016-01-14",1122
"2016-01-15",552
"2016-01-16",1012
"2016-01-17",295
"2016-01-18",489
"2016-01-19",801
"2016-01-20",356
"2016-01-21",1624
"2016-01-22",1235
"2016-01-23",662
"2016-01-24",1093
"2016-01-25",932
"2016-01-26",950
"2016-01-27",1347
"2016-01-28",1035
"2016-01-29",1394
"2016-01-30",940
"2016-01-31",699
"2016-02-01",1382
"2016-02-02",1430
"2016-02-03",2934
"2016-02-04",701
"2016-02-05",418
"2016-02-06",239
"2016-02-07",166
"2016-02-08",1438
"2016-02-09",641
"2016-02-10",7694
"2016-02-11",3953
"2016-02-12",5312
"2016-02-13",1881
"2016-02-14",1594
"2016-02-15",7406
"2016-02-16",2430
"2016-02-17",3271
"2016-02-18",3249
"2016-02-19",3354
"2016-02-20",1636
"2016-02-21",1811
"2016-02-22",2104
"2016-02-23",2387
"2016-02-24",1253
"2016-02-25",1114
"2016-02-26",3871
"2016-02-27",1198
"2016-02-28",1842
"2016-02-29",1740
"2016-03-01",1932
"2016-03-02",1835
"2016-03-03",2536
"2016-03-04",2808
"2016-03-05",1456
"2016-03-06",781
"2016-03-07",756
"2016-03-08",2913
"2016-03-09",850
"2016-03-10",3653
"2016-03-11",2683
"2016-03-12",557
"2016-03-13",273
"2016-03-14",211
