"date","Anonymous Classifications"
"2012-12-11",86490
"2012-12-12",106291
"2012-12-13",85684
"2012-12-14",67920
"2012-12-15",120825
"2012-12-16",72488
"2012-12-17",44244
"2012-12-18",36681
"2012-12-19",13588
"2012-12-20",5844
"2012-12-21",10533
"2012-12-22",4667
"2012-12-23",5543
"2012-12-24",4536
"2012-12-25",3176
"2012-12-26",2157
"2012-12-27",2691
"2012-12-28",3896
"2012-12-29",3147
"2012-12-30",1377
"2012-12-31",1188
"2013-01-01",1044
"2013-01-02",2033
"2013-01-03",3498
"2013-01-04",7152
"2013-01-05",3123
"2013-01-06",4662
"2013-01-07",3859
"2013-01-08",6262
"2013-01-09",5595
"2013-01-10",7670
"2013-01-11",10434
"2013-01-12",6798
"2013-01-13",6112
"2013-01-14",9326
"2013-01-15",5675
"2013-01-16",4924
"2013-01-17",3323
"2013-01-18",5066
"2013-01-19",2454
"2013-01-20",1594
"2013-01-21",3333
"2013-01-22",1127
"2013-01-23",6
"2013-01-25",720
"2013-01-26",893
"2013-01-27",1132
"2013-01-28",897
"2013-01-29",1807
"2013-01-30",1268
"2013-01-31",2982
"2013-02-01",1131
"2013-02-02",1167
"2013-02-03",876
"2013-02-04",1722
"2013-02-05",1495
"2013-02-06",1841
"2013-02-07",1538
"2013-02-08",2013
"2013-02-09",1423
"2013-02-10",863
"2013-02-11",1698
"2013-02-12",894
"2013-02-13",542
"2013-02-14",879
"2013-02-15",446
"2013-02-16",295
"2013-02-17",1135
"2013-02-18",365
"2013-02-19",440
"2013-02-20",635
"2013-02-21",440
"2013-02-22",803
"2013-02-23",676
"2013-02-24",291
"2013-02-25",1154
"2013-02-26",1421
"2013-02-27",1048
"2013-02-28",696
"2013-03-01",566
"2013-03-02",2777
"2013-03-03",4543
"2013-03-04",3942
"2013-03-05",2330
"2013-03-06",1552
"2013-03-07",1116
"2013-03-08",1602
"2013-03-09",1271
"2013-03-10",1109
"2013-03-11",1259
"2013-03-12",1131
"2013-03-13",1285
"2013-03-14",901
"2013-03-15",544
"2013-03-16",666
"2013-03-17",861
"2013-03-18",402
"2013-03-19",262
"2013-03-20",578
"2013-03-21",430
"2013-03-22",2909
"2013-03-23",1869
"2013-03-24",438
"2013-03-25",469
"2013-03-26",1824
"2013-03-27",652
"2013-03-28",246
"2013-03-29",247
"2013-03-30",170
"2013-03-31",249
"2013-04-01",322
"2013-04-02",236
"2013-04-03",530
"2013-04-04",257
"2013-04-05",389
"2013-04-06",348
"2013-04-07",341
"2013-04-08",1975
"2013-04-09",321
"2013-04-10",168
"2013-04-11",347
"2013-04-12",164
"2013-04-13",210
"2013-04-14",149
"2013-04-15",393
"2013-04-16",252
"2013-04-17",149
"2013-04-18",476
"2013-04-19",522
"2013-04-20",697
"2013-04-21",756
"2013-04-22",845
"2013-04-23",474
"2013-04-24",1733
"2013-04-25",1156
"2013-04-26",1618
"2013-04-27",714
"2013-04-28",1017
"2013-04-29",1435
"2013-04-30",472
"2013-05-01",1615
"2013-05-02",1267
"2013-05-03",110
"2013-05-04",601
"2013-05-05",434
"2013-05-06",1208
"2013-05-07",408
"2013-05-08",372
"2013-05-09",223
"2013-05-10",127
"2013-05-11",127
"2013-05-12",212
"2013-05-13",329
"2013-05-14",417
"2013-05-15",152
"2013-05-16",1185
"2013-05-17",152
"2013-05-18",128
"2013-05-19",162
"2013-05-20",560
"2013-05-21",312
"2013-05-22",443
"2013-05-23",489
"2013-05-24",386
"2013-05-25",28
"2013-05-26",177
"2013-05-27",391
"2013-05-28",480
"2013-05-29",143
"2013-05-30",120
"2013-05-31",104
"2013-06-01",88
"2013-06-02",46
"2013-06-03",76
"2013-06-04",1345
"2013-06-05",5950
"2013-06-06",4438
"2013-06-07",2792
"2013-06-08",2469
"2013-06-09",1306
"2013-06-10",660
"2013-06-11",1844
"2013-06-12",2509
"2013-06-13",1424
"2013-06-14",2179
"2013-06-15",1480
"2013-06-16",1156
"2013-06-17",1271
"2013-06-18",864
"2013-06-19",990
"2013-06-20",6049
"2013-06-21",6419
"2013-06-22",4709
"2013-06-23",2844
"2013-06-24",1671
"2013-06-25",2775
"2013-06-26",1521
"2013-06-27",1401
"2013-06-28",1215
"2013-06-29",1249
"2013-06-30",1146
"2013-07-01",798
"2013-07-02",499
"2013-07-03",2319
"2013-07-04",908
"2013-07-05",1223
"2013-07-06",1906
"2013-07-07",1186
"2013-07-08",1089
"2013-07-09",1011
"2013-07-10",806
"2013-07-11",965
"2013-07-12",797
"2013-07-13",1153
"2013-07-14",585
"2013-07-15",1490
"2013-07-16",2129
"2013-07-17",1160
"2013-07-18",684
"2013-07-19",804
"2013-07-20",568
"2013-07-21",727
"2013-07-22",1186
"2013-07-23",1664
"2013-07-24",1098
"2013-07-25",1294
"2013-07-26",933
"2013-07-27",1576
"2013-07-28",951
"2013-07-29",1081
"2013-07-30",13381
"2013-07-31",10363
"2013-08-01",7538
"2013-08-02",6963
"2013-08-03",5401
"2013-08-04",6213
"2013-08-05",6598
"2013-08-06",7319
"2013-08-07",6571
"2013-08-08",5790
"2013-08-09",3167
"2013-08-10",3303
"2013-08-11",2895
"2013-08-12",4012
"2013-08-13",2836
"2013-08-14",1417
"2013-08-15",1981
"2013-08-16",927
"2013-08-17",920
"2013-08-18",603
"2013-08-19",1477
"2013-08-20",3138
"2013-08-21",861
"2013-08-22",1532
"2013-08-23",630
"2013-08-24",1151
"2013-08-25",944
"2013-08-26",1158
"2013-08-27",296
"2013-08-28",965
"2013-08-29",1047
"2013-08-30",612
"2013-08-31",973
"2013-09-01",647
"2013-09-02",790
"2013-09-03",269
"2013-09-04",663
"2013-09-05",505
"2013-09-06",3614
"2013-09-07",576
"2013-09-08",639
"2013-09-09",210
"2013-09-10",1224
"2013-09-11",3079
"2013-09-12",1927
"2013-09-13",2116
"2013-09-14",240
"2013-09-15",1232
"2013-09-16",1149
"2013-09-17",1408
"2013-09-18",1005
"2013-09-19",1166
"2013-09-20",1676
"2013-09-21",860
"2013-09-22",1724
"2013-09-23",2178
"2013-09-24",2750
"2013-09-25",2591
"2013-09-26",789
"2013-09-27",697
"2013-09-28",4291
"2013-09-29",2836
"2013-09-30",1635
"2013-10-01",1405
"2013-10-02",1993
"2013-10-03",1859
"2013-10-04",1505
"2013-10-05",539
"2013-10-06",1234
"2013-10-07",2598
"2013-10-08",2059
"2013-10-09",2467
"2013-10-10",2088
"2013-10-11",2220
"2013-10-12",749
"2013-10-13",984
"2013-10-14",1713
"2013-10-15",5402
"2013-10-16",3156
