Season 1 has 154,194 subjects
Season 2 has 208,431 subjects
Season 3 has 149,961 subjects
Season 4 has 205,356 subjects
Season 5 has 338,691 subjects
Season 6 has 184,094 subjects
Season 7 has 304,672 subjects
Season 8 has 362,236 subjects
Lost Season has 16,773 subjects
Season 9 has 369,564 subjects
